method,epoch,params_total,params_m,device,train_loss,val_loss,epoch_time_sec,cumulative_time_sec,peak_vram_mb,n_files,note_density_mean,silence_ratio_mean,polyphony_mean_mean,pitch_range_mean,instrument_match_mean,pitch_class_js_mean,empty_mean,infer_time_per_sample_sec,has_bass_track_mean
transformer,1,7716624,7.717,cuda,6.011537,nan,558.216,558.216,1376.5,20,1.5670923352187138,0.19045653150366848,6.918351612592138,65.75,0.15,0.17889635413267954,0.0,3.9036168946011456,0.4
diffusion,1,4433409,4.433,cuda,0.032231,0.00816,1445.641,1445.641,304.17,20,90.32516513956958,0.009302325581395349,79.02697674418604,87.0,1.0,0.07394428966456018,0.0,2.4888578337500804,0.0
transformer,5,7716624,7.717,cuda,3.065261,2.896247,565.77,2676.077,302.12,20,6.146746485524492,0.40092862098382753,2.835156469330391,27.2,0.17647058823529413,0.11190556051336906,0.15,5.142348454904277,0.2
diffusion,5,4433409,4.433,cuda,0.006056,0.004146,1406.771,7071.581,304.17,20,122.68058810995099,0.009302325581395349,71.97744186046512,87.0,1.0,0.07471210792484126,0.0,2.5651919334486593,0.0
transformer,10,7716624,7.717,cuda,2.656427,2.579227,567.896,5512.364,302.12,20,2.787857085492093,0.4750002673920009,2.7231016125610505,29.8,0.21052631578947367,0.1545685197662089,0.05,4.288186965504428,0.3
diffusion,10,4433409,4.433,cuda,0.005114,0.003456,1407.218,14111.641,304.17,20,124.01662049861496,0.010232558139534883,61.22813953488371,85.85,1.0,0.07978511344114063,0.0,2.642511974001536,0.0
transformer,20,7716624,7.717,cuda,2.440702,2.417326,565.189,11181.212,302.12,20,3.6648374473667267,0.37056996209034504,1.8698877088597627,19.75,0.2777777777777778,0.18144108239663095,0.1,4.09645701799891,0.0
diffusion,20,4433409,4.433,cuda,0.004443,0.003063,1574.93,29479.044,304.17,20,124.2697634775197,0.010930232558139534,49.6160465116279,81.25,1.0,0.0800894567303706,0.0,2.4911946918989996,0.0
transformer,30,7716624,7.717,cuda,2.392251,2.389257,566.589,16863.191,302.12,20,5.558735969983075,0.33735656211296267,2.007443277389366,27.5,0.3684210526315789,0.14920820177830096,0.05,4.077633767353836,0.1
diffusion,30,4433409,4.433,cuda,0.004077,0.002892,1578.293,45236.041,304.17,20,86.2795653100362,0.009302325581395349,42.599767441860465,79.65,1.0,0.0822925096873822,0.0,2.3527767976454923,0.0
