ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,10.665909090909091,2091.0,1.0,196.0451736629022,55.730232558139534,68.0,21.0,108.0,87.0,64.51984696317551,26.632916767565593,88.0,0.042085126733620276,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.4503481726895,0.0,diffusion,5,p01.mid,p01,piano,happy,191.13090533294945,53.54952059482837,1.2076992850232813,19.75308985004737,0.18921323506348328,0.07663395724332579
1.0,10.665909090909091,1120.0,1.0,105.00745791604517,78.06511627906977,86.0,21.0,108.0,87.0,62.855357142857144,26.37671063946684,88.0,0.07857142857142857,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.440347692531267,0.0,diffusion,5,p02.mid,p02,piano,sad,100.09318958609244,75.88440431575862,2.872189105341647,19.496883721948617,0.18921323506348328,0.07503520995438573
1.0,10.665909090909091,101.0,1.0,9.469422544214789,87.03255813953488,88.0,21.0,108.0,87.0,62.86138613861386,25.047293762226946,88.0,0.8712871287128713,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.417780227649864,0.0,diffusion,5,p03.mid,p03,strings,tense,4.555154214262058,84.85184617622373,2.866160109584932,18.167466844708724,0.18921323506348328,0.08577855595868582
1.0,10.665909090909091,88.0,1.0,8.250585979117835,87.18139534883721,88.0,21.0,108.0,87.0,64.5,25.401771591761076,88.0,1.0,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.477336814390206,0.0,diffusion,5,p04.mid,p04,full_orchestra,epic,3.336317649165104,85.00068338552606,1.2275462481987915,18.521944674242853,0.18921323506348328,0.07551010766202185
1.0,10.665909090909091,1391.0,1.0,130.41551246537395,74.95348837209302,84.0,21.0,108.0,87.0,64.26240115025162,26.12893462650449,88.0,0.06326383896477354,0.009302325581395349,0.0,0.0,0.0,73.0,9.0,1.0,4.452313444672464,0.0,diffusion,5,p05.mid,p05,flute,peaceful,125.50124413542122,72.77277640878187,1.4651450979471718,19.249107708986266,0.18921323506348328,0.07309634169192906
1.0,10.665909090909091,1318.0,1.0,123.5712763690603,76.18139534883721,85.0,21.0,108.0,87.0,64.30500758725341,25.814433314268523,88.0,0.06676783004552352,0.009302325581395349,0.0,0.0,0.0,80.0,10.0,1.0,4.455006497885643,0.0,diffusion,5,p06.mid,p06,synth,mysterious,118.65700803910757,74.00068338552606,1.4225386609453778,18.9346063967503,0.18921323506348328,0.0741186448779449
1.0,10.665909090909091,532.0,1.0,49.878542510121456,83.54418604651163,88.0,21.0,108.0,87.0,64.15037593984962,26.21061205064078,88.0,0.16541353383458646,0.009302325581395349,0.0,0.0,0.0,16.0,2.0,1.0,4.375087574344732,0.0,diffusion,5,p07.mid,p07,organ,dark,44.96427418016872,81.36347408320047,1.5771703083491673,19.330785133122557,0.18921323506348328,0.06780718760572149
1.0,10.665909090909091,2441.0,1.0,228.86000426166632,63.33953488372093,73.0,21.0,108.0,87.0,64.82507169192954,26.098325922981356,88.0,0.036050798852929125,0.009302325581395349,0.0,0.0,0.0,56.0,7.0,1.0,4.459566143113274,0.0,diffusion,5,p08.mid,p08,brass,heroic,223.94573593171359,61.15882292040977,0.9024745562692544,19.218499005463133,0.18921323506348328,0.07011706604340909
1.0,10.665909090909091,1812.0,1.0,169.8870658427445,70.07441860465116,81.0,21.0,108.0,87.0,65.08167770419426,26.10369362803602,88.0,0.04856512141280353,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.458030454126719,0.0,diffusion,5,p09.mid,p09,piano,playful,164.97279751279177,67.89370664134,0.6458685440045286,19.223866710517797,0.18921323506348328,0.06511862993703982
1.0,10.665909090909091,2026.0,1.0,189.95099083741744,66.6046511627907,77.0,21.0,108.0,87.0,65.11105626850937,26.614075022603707,88.0,0.04343534057255676,0.009302325581395349,0.0,0.0,0.0,24.0,3.0,1.0,4.450166487424507,0.0,diffusion,5,p10.mid,p10,guitar,nostalgic,185.0367225074647,64.42393919947955,0.616489979689419,19.734248105085484,0.18921323506348328,0.0755476485545788
1.0,10.665909090909091,1111.0,1.0,104.16364798636266,46.91162790697675,62.0,21.0,108.0,87.0,65.44284428442845,25.66593038541775,88.0,0.07920792079207921,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.438525432094408,0.0,diffusion,5,p11.mid,p11,piano,happy,99.24937965640993,44.730915943665586,0.2847019637703454,18.786103467899526,0.18921323506348328,0.07106539955079288
1.0,10.665909090909091,94.0,1.0,8.813125932239506,87.06046511627908,88.0,21.0,108.0,87.0,64.54255319148936,24.72601562727732,88.0,0.9361702127659575,0.009302325581395349,0.0,0.0,0.0,80.0,10.0,1.0,4.454807908067968,0.0,diffusion,5,p12.mid,p12,synth,tense,3.8988576022867756,84.87975315296792,1.1849930567094304,17.846188709759097,0.18921323506348328,0.07496315808759449
1.0,10.665909090909091,2325.0,1.0,217.98423183464735,64.77209302325582,75.0,21.0,108.0,87.0,64.19569892473119,25.54791372067876,88.0,0.0378494623655914,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.467418326355998,0.0,diffusion,5,p13.mid,p13,strings,peaceful,213.0699635046946,62.59138105994466,1.531847323467602,18.668086803160538,0.18921323506348328,0.07175462173366604
1.0,10.665909090909091,2087.0,1.0,195.67014702748776,66.74883720930232,77.0,21.0,108.0,87.0,65.30905606133206,26.439375273430286,88.0,0.04216578821274557,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.45919385859792,0.0,diffusion,5,p14.mid,p14,full_orchestra,epic,190.75587869753502,64.56812524599117,0.4184901868667339,19.559548355912064,0.18921323506348328,0.07705492043205016
1.0,10.665909090909091,612.0,1.0,57.3790752184104,82.81860465116279,87.0,21.0,108.0,87.0,62.428104575163395,25.8446792479027,88.0,0.1437908496732026,0.009302325581395349,0.0,0.0,0.0,73.0,9.0,1.0,4.39758494096645,0.0,diffusion,5,p15.mid,p15,flute,mysterious,52.464806888457666,80.63789268785163,3.299441673035396,18.964852330384478,0.18921323506348328,0.08043846114554307
1.0,10.665909090909091,120.0,1.0,11.250799062433412,86.86976744186046,88.0,21.0,108.0,87.0,63.025,25.49557559656185,88.0,0.7333333333333333,0.009302325581395349,0.0,0.0,0.0,80.0,10.0,1.0,4.37516113942446,0.0,diffusion,5,p16.mid,p16,synth,happy,6.336530732480681,84.6890554785493,2.702546248198793,18.615748679043627,0.18921323506348328,0.0703256881266234
1.0,10.665909090909091,1714.0,1.0,160.69891327509055,69.91162790697675,83.0,21.0,108.0,87.0,65.3296382730455,27.60699726099895,88.0,0.051341890315052506,0.009302325581395349,0.0,0.0,0.0,48.0,6.0,1.0,4.417788087635525,0.0,diffusion,5,p17.mid,p17,strings,sad,155.7846449451378,67.7309159436656,0.3979079751532879,20.727170343480726,0.18921323506348328,0.08651533010333994
1.0,10.665909090909091,2332.0,1.0,218.64052844662262,57.81395348837209,70.0,21.0,108.0,87.0,63.50343053173242,26.39470628675134,88.0,0.03773584905660377,0.009302325581395349,0.0,0.0,0.0,56.0,7.0,1.0,4.4440281448626315,0.0,diffusion,5,p18.mid,p18,brass,heroic,213.7262601166699,55.63324152506093,2.224115716466372,19.514879369233118,0.18921323506348328,0.08000282560399032
1.0,10.665909090909091,1919.0,1.0,179.91902834008096,54.15348837209302,66.0,21.0,108.0,87.0,64.07816571130797,26.331556104223733,88.0,0.04585721730067743,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,1.0,4.450692771020021,0.0,diffusion,5,p19.mid,p19,piano,playful,175.00476001012822,51.97277640878186,1.649380536890817,19.45172918670551,0.18921323506348328,0.07298160429711806
1.0,10.665909090909091,936.0,1.0,87.75623268698061,79.78139534883721,86.0,21.0,108.0,87.0,63.60149572649573,25.443887439210474,88.0,0.09401709401709402,0.009302325581395349,0.0,0.0,0.0,16.0,2.0,1.0,4.424410991284555,0.0,diffusion,5,p20.mid,p20,organ,dark,82.84196435702788,77.60068338552605,2.126050521703064,18.56406052169225,0.18921323506348328,0.07037679988706426
