method,params_total,params_trainable,params_m,device,torch_version,python,platform,cuda_available,gpu_name,gpu_memory_total_mb,batch_size,grad_accum,train_samples,val_samples,ema,schedule,timestamp
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,270,30,True,1000,2026-07-11T04:21:00
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,4,4,12809,1423,True,1000,2026-07-11T04:22:18
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T16:19:03
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,1,4,18,2,True,1000,2026-07-11T16:42:38
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,90,10,True,1000,2026-07-11T16:44:11
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:01:51
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,180,20,True,1000,2026-07-11T17:12:31
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:15:06
diffusion,13720609,13720609,13.721,cuda,2.12.0+cu130,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:15:31
diffusion,13720609,13720609,13.721,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:25:25
diffusion,13720609,13720609,13.721,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:26:00
diffusion,13720609,13720609,13.721,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,90,10,True,1000,2026-07-11T17:39:12
diffusion,13720609,13720609,13.721,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:40:38
diffusion,13720609,13720609,13.721,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,True,1000,2026-07-11T17:46:23
diffusion,4433409,4433409,4.433,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,1,4,12809,1423,True,1000,2026-07-11T17:52:09
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,4,4,180,20,,,2026-07-12T08:58:32
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,8,4,12809,1423,,,2026-07-12T09:01:35
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,8,4,12809,1423,,,2026-07-12T09:07:15
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,4,4,58,6,,,2026-07-12T09:21:44
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,4,4,12809,1423,,,2026-07-12T12:32:38
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,4,4,12809,1423,,,2026-07-12T12:47:22
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,4,4,12809,1423,,,2026-07-12T13:02:26
transformer,7716624,7716624,7.717,cuda,2.5.1+cu124,3.12.13,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,True,NVIDIA GeForce RTX 3060,11907.8,2,4,12809,1423,,,2026-07-12T13:18:13
