ok,duration_sec,num_notes,num_instruments,note_density,polyphony_mean,polyphony_max,pitch_min,pitch_max,pitch_range,pitch_mean,pitch_std,unique_pitches,unique_pitch_ratio,silence_ratio,invalid_short_notes,invalid_long_notes,has_bass_track,dominant_program,dominant_group,instrument_match,pitch_entropy,empty,method,epoch,file,prompt_id,prompt_instrument,prompt_mood,note_density_abs_err_vs_ref,polyphony_mean_abs_err_vs_ref,pitch_mean_abs_err_vs_ref,pitch_std_abs_err_vs_ref,silence_ratio_abs_err_vs_ref,pitch_class_js_vs_ref
1.0,58.37954545454545,47.0,6.0,0.8050764978393741,13.43798118049615,24.0,24.0,106.0,82.0,66.63829787234043,18.826673621645245,35.0,0.7446808510638298,0.00427715996578272,0.0,0.14893617021276595,1.0,48.0,6.0,0.0,3.47393422676085,0.0,transformer,1,p01.mid,p01,piano,happy,4.109191832113357,11.257269217184989,0.9107516241416391,11.946846704127022,0.19423840067909592,0.059405623725185194
1.0,97.8,47.0,5.0,0.48057259713701433,11.269800715380685,25.0,27.0,107.0,80.0,64.51063829787235,20.92730308678576,34.0,0.723404255319149,0.020950434338272865,0.0,0.2765957446808511,1.0,104.0,13.0,0.0,3.426075916581526,0.0,transformer,1,p02.mid,p02,piano,sad,4.433695732815717,9.089088752069523,1.2169079503264442,14.047476169267537,0.17756512630660576,0.08295148144165318
1.0,6.3,5.0,2.0,0.7936507936507937,2.0236220472440944,4.0,46.0,100.0,54.0,68.6,20.84802148886076,5.0,1.0,0.33858267716535434,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124291003,0.0,transformer,1,p03.mid,p03,strings,tense,4.120617536301937,0.15708991606706624,2.8724537518012028,13.968194571342536,0.1400671165204757,0.3034732600388418
1.0,16.120454545454546,18.0,2.0,1.1165938248977865,8.395061728395062,14.0,27.0,108.0,81.0,62.666666666666664,23.706539182259394,16.0,0.8888888888888888,0.006172839506172839,0.0,0.0,1.0,32.0,4.0,0.0,2.7363390510890655,0.0,transformer,1,p04.mid,p04,full_orchestra,epic,3.7976745050549443,6.214349765083901,3.0608795815321272,16.82671226474117,0.1923427211387058,0.11637579255829202
1.0,1.9795454545454545,4.0,1.0,2.0206659012629165,0.1951219512195122,4.0,58.0,108.0,50.0,87.0,18.466185312619388,4.0,1.0,0.9512195121951219,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611158907,0.0,transformer,1,p05.mid,p05,flute,peaceful,2.8936024286898143,1.9855900120916485,21.27245375180121,11.586358395101165,0.7527039515502433,0.3441327565754594
1.0,24.259090909090908,20.0,7.0,0.8244332021735058,7.04517453798768,16.0,28.0,100.0,72.0,66.7,18.713898578329424,19.0,0.95,0.004106776180698152,0.0,0.0,0.0,24.0,3.0,0.0,2.926417555478996,0.0,transformer,1,p06.mid,p06,synth,mysterious,4.089835127779225,4.864462574676519,0.9724537518012113,11.834071660811201,0.19440878446418047,0.13255156596836365
1.0,28.85909090909091,38.0,4.0,1.3167427941408096,11.42314335060449,27.0,32.0,107.0,75.0,69.8157894736842,20.63065586012322,34.0,0.8947368421052632,0.008635578583765112,0.0,0.0,0.0,24.0,3.0,0.0,3.491660437469239,0.0,transformer,1,p07.mid,p07,organ,dark,3.597525535811921,9.24243138729333,4.088243225485414,13.750828942604997,0.1898799820611135,0.06396209645683318
1.0,21.329545454545453,4.0,3.0,0.1875332978156633,1.5350467289719627,3.0,33.0,66.0,33.0,51.5,12.698425099200294,4.0,1.0,0.45794392523364486,0.0,0.0,0.0,88.0,11.0,0.0,1.3862943611158907,0.0,transformer,1,p08.mid,p08,brass,heroic,4.726735032137068,0.645665234339198,14.227546248198792,5.818598181682072,0.2594283645887662,0.29845946715821764
1.0,0.09999999999999999,1.0,1.0,10.0,0.3333333333333333,1.0,50.0,50.0,0.0,50.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,-1.000088900581841e-12,0.0,transformer,1,p09.mid,p09,piano,playful,5.085731670047269,1.8473786299778274,15.727546248198792,6.879826917518223,0.468151106021788,0.5209093210927433
1.0,47.02954545454545,41.0,9.0,0.8717923935630407,8.654989384288747,23.0,27.0,107.0,80.0,61.853658536585364,21.7710492208365,30.0,0.7317073170731707,0.055201698513800426,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,3.2550904477099465,0.0,transformer,1,p10.mid,p10,guitar,nostalgic,4.04247593638969,6.474277420977586,3.8738877116134276,14.891222303318276,0.14331386213107822,0.08106885785894241
