method,epoch,train_loss,val_loss,learning_rate,perplexity,epoch_time_sec,cumulative_time_sec,peak_vram_mb,global_step,device,timestamp
transformer,1,5.88086,5.710437,1e-06,302.0032,4.078,4.078,450.86,12,cuda,2026-07-12T08:58:36
transformer,1,6.011537,nan,1e-05,nan,558.216,558.216,1376.5,240,cuda,2026-07-12T12:57:33
transformer,2,4.96766,4.115028,3.7984173261141194e-05,61.2539,975.233,975.233,302.12,1824,cuda,2026-07-12T13:35:27
transformer,3,3.768895,3.404609,4.9940903522688375e-05,30.1025,567.396,1542.629,302.12,3410,cuda,2026-07-12T13:45:11
transformer,4,3.302699,3.08084,4.9610292147612947e-05,21.7767,567.678,2110.307,302.12,4995,cuda,2026-07-12T13:54:54
transformer,5,3.065261,2.896247,4.8993792570618487e-05,18.1061,565.77,2676.077,302.12,6578,cuda,2026-07-12T14:04:35
transformer,6,2.923776,2.795167,4.8098486525073564e-05,16.3654,566.95,3243.027,302.12,8161,cuda,2026-07-12T14:14:17
transformer,7,2.838537,2.731904,4.69317302049202e-05,15.3621,569.326,3812.354,302.12,9748,cuda,2026-07-12T14:24:01
transformer,8,2.759043,2.665042,4.5512272484940726e-05,14.3685,566.159,4378.512,302.12,11332,cuda,2026-07-12T14:33:42
transformer,9,2.704777,2.617286,4.385278970717691e-05,13.6985,565.956,4944.468,302.12,12918,cuda,2026-07-12T14:43:23
transformer,10,2.656427,2.579227,4.197718140059403e-05,13.1869,567.896,5512.364,302.12,14502,cuda,2026-07-12T14:53:06
transformer,11,2.618645,2.554074,3.990442308379021e-05,12.8594,566.775,6079.139,302.12,16087,cuda,2026-07-12T15:02:48
transformer,12,2.587881,2.529324,3.766175660986789e-05,12.545,569.19,6648.329,302.12,17671,cuda,2026-07-12T15:12:32
transformer,13,2.557949,2.503064,3.5271487777814215e-05,12.2199,568.759,7217.088,302.12,19257,cuda,2026-07-12T15:22:16
transformer,14,2.53727,2.484263,3.276804074674182e-05,11.9923,568.494,7785.583,302.12,20841,cuda,2026-07-12T15:32:00
transformer,15,2.509833,2.468434,3.017492157765482e-05,11.804,569.946,8355.529,302.12,22427,cuda,2026-07-12T15:41:45
transformer,16,2.492665,2.453917,2.7537880953031993e-05,11.6338,562.979,8918.507,302.12,24006,cuda,2026-07-12T15:51:23
transformer,17,2.479577,2.44324,2.4868346795279488e-05,11.5103,564.592,9483.099,302.12,25590,cuda,2026-07-12T16:01:02
transformer,18,2.461391,2.434455,2.2204646557910638e-05,11.4096,565.45,10048.549,302.12,27175,cuda,2026-07-12T16:10:42
transformer,19,2.449268,2.42592,1.957851500291495e-05,11.3126,567.474,10616.023,302.12,28761,cuda,2026-07-12T16:20:25
transformer,20,2.440702,2.417326,1.7029252401804012e-05,11.2158,565.189,11181.212,302.12,30343,cuda,2026-07-12T16:30:05
transformer,21,2.430023,2.411414,1.4575857482972438e-05,11.1497,567.694,11748.906,302.12,31928,cuda,2026-07-12T16:39:48
transformer,22,2.420462,2.40391,1.2249591606504548e-05,11.0664,567.789,12316.696,302.12,33515,cuda,2026-07-12T16:49:31
transformer,23,2.413393,2.400653,1.0086610605761528e-05,11.0304,570.107,12886.802,302.12,35098,cuda,2026-07-12T16:59:16
transformer,24,2.407417,2.397865,8.1053560474291e-06,10.9997,569.831,13456.634,302.12,36682,cuda,2026-07-12T17:09:01
transformer,25,2.399878,2.396688,6.326587289792167e-06,10.9867,569.281,14025.915,302.12,38270,cuda,2026-07-12T17:18:45
transformer,26,2.40017,2.393037,4.777692081413002e-06,10.9467,568.231,14594.146,302.12,39857,cuda,2026-07-12T17:28:28
transformer,27,2.400413,2.391625,3.4759565882957593e-06,10.9312,568.057,15162.203,302.12,41444,cuda,2026-07-12T17:38:11
transformer,28,2.392543,2.390234,2.4391845479303846e-06,10.9161,566.985,15729.187,302.12,43027,cuda,2026-07-12T17:47:54
transformer,29,2.389988,2.389937,1.6752938780104557e-06,10.9128,567.414,16296.601,302.12,44612,cuda,2026-07-12T17:57:36
transformer,30,2.392251,2.389257,1.1954883547355513e-06,10.9054,566.589,16863.191,302.12,46194,cuda,2026-07-12T18:07:18
